시도,구시군,시장명,시장주소,2010_개설주기,2010_등록_인정 여부,2010_영업점포,2010_공동화장실 보유여부,2010_고객 주차장 보유여부
서울,종로구,종로광장전통시장,서울 종로구 예지동 6-1,상설,등록,1204,보유,미보유
서울,종로구,동대문종합시장,서울 종로구 종로6가 289-42,상설,등록,4009,보유,보유
서울,금천구,대명합동시장(대명시장 및 주변상점가),서울 금천구 시흥본동 885-4,상설,등록,120,보유,미보유
서울,종로구,동대문종합시장D동상가,서울 종로구 종로6가 270-3,상설,등록,1145,보유,미보유
서울,종로구,동문시장,서울 종로구 창신동 437,상설,등록,300,보유,미보유
서울,종로구,신설종합시장,서울 종로구 숭인동 206-9,상설,등록,145,보유,미보유
서울,종로구,종로신진시장,서울 종로구 종로5가 225-21,상설,인정,56,보유,미보유
서울,종로구,통인시장,서울 종로구 통인동 44,상설,인정,76,보유,미보유
서울,종로구,한일상가,서울 종로구 종로5가 314-7,상설,인정,230,보유,보유
서울,중구,신중부시장,서울 중구 오장동 44-12,상설,인정,256,미보유,미보유
서울,중구,광희시장,서울 중구 신당동 777,상설,등록,760,보유,보유
서울,중구,남평화시장,서울 중구 신당1동 772,상설,등록,676,보유,보유
서울,중구,동화시장,서울 중구 을지로6가 17-415,상설,등록,936,보유,보유
서울,중구,방산종합시장,서울 중구 주교동 19-1,상설,등록,1032,보유,보유
서울,중구,서울남대문시장,서울 중구 남창동 49,상설,등록,5200,보유,미보유
서울,중구,서울중앙시장,서울 중구 황학동 409,상설,등록,445,미보유,미보유
서울,중구,삼익패션타운,서울 중구 남창동 5,상설,등록,1055,보유,보유
서울,중구,에리어식스,서울 중구 신당동 776,상설,등록,250,보유,보유
서울,중구,제일평화시장,서울 중구 신당동 775,상설,등록,850,보유,보유
서울,중구,중부시장,서울 중구 오장동 139-11,상설,등록,856,보유,미보유
서울,중구,청평화시장,서울 중구 신당동 217-91,상설,등록,1107,보유,보유
서울,중구,통일시장,서울 중구 을지로6가 17-415,상설,등록,670,보유,미보유
서울,중구,평화시장,서울 중구 을지로6가 17-415,상설,등록,2025,보유,미보유
서울,용산구,만리시장,서울 용산구 서계동 260-1,상설,등록,31,보유,미보유
서울,용산구,보광시장,서울 용산구 보광동 260-8,상설,등록,21,보유,보유
서울,용산구,이태원시장,서울 용산구 이태원동 56-9,상설,등록,74,보유,미보유
서울,성동구,금남시장,서울 성동구 금호3가326,상설,등록,110,보유,미보유
서울,성동구,뚝도시장,서울 성동구 성수2가 335-16,상설,등록,125,보유,미보유
서울,성동구,마장축산물시장,서울 성동구 마장동 510-3,상설,인정,1900,보유,보유
서울,광진구,광성시장,서울 광진구 중곡동 229-15,상설,등록,18,보유,미보유
서울,광진구,구의시장 개봉산업㈜,서울 광진구 구의2동 66-28,상설,등록,11,보유,보유
서울,광진구,노룬산골목시장,서울 광진구 자양4동 44-12,상설,인정,36,보유,미보유
서울,광진구,노룬산시장,서울 광진구 자양4동 44-2,상설,등록,22,보유,미보유
서울,광진구,신성종합시장,서울 광진구 중곡동 79-13,상설,등록,22,보유,미보유
서울,광진구,영동교골목시장,서울 광진구 자양4 246-111,상설,인정,102,미보유,미보유
서울,광진구,자양골목시장,서울 광진구 자양1동 612-28,상설,인정,137,미보유,보유
서울,광진구,조양시장,서울 광진구 자양4동 6-20,상설,등록,24,보유,미보유
서울,광진구,중곡제일골목시장,서울 광진구 중곡동 229-241,상설,인정,140,미보유,보유
서울,광진구,중곡제일시장무림기업(주),서울 광진구 중곡1동 229-5,상설,등록,10,보유,미보유
서울,광진구,자양종합시장,서울 광진구 자양동 602,상설,등록,10,보유,미보유
서울,동대문구,서울약령시장,서울 동대문구 제기동 1126-5 일대,상설,인정,1041,미보유,미보유
서울,동대문구,이경시장,서울 동대문구 휘경동 151-3,상설,등록,58,보유,보유
서울,동대문구,경동광성상가,서울 동대문구 제기동 849,상설,인정,85,보유,미보유
서울,동대문구,경동시장,서울 동대문구 제기동 1018,상설,등록,620,보유,보유
서울,동대문구,답십리현대시장,서울 동대문구답십리동 14,상설,인정,110,미보유,미보유
서울,동대문구,동부시장,서울 동대문구 답십리동 495-1,상설,등록,38,보유,보유
서울,동대문구,동서시장,서울 동대문구 제기동 650,상설,등록,58,보유,미보유
서울,동대문구,이문제일시장,서울 동대문구 이문동 250-1 외 4필지,상설,등록,19,보유,미보유
서울,동대문구,전곡시장,서울 동대문구 장안동 108-5,상설,등록,20,보유,보유
서울,동대문구,제기시장,서울 동대문구 제기동 135-90,상설,등록,12,보유,보유
서울,동대문구,청량리전통시장,서울 동대문구 청량리동 777,상설,인정,70,미보유,미보유
서울,동대문구,청량리종합시장,서울 동대문구 제기동 998,상설,인정,105,미보유,보유
서울,동대문구,청량리청과물시장,서울 동대문구 제기동 635,상설,인정,185,보유,미보유
서울,동대문구,용두시장,서울 동대문구 용두동 231-5호,상설,등록,12,보유,미보유
