순번,시도,시장-상점가명,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
1,서울,강남시장,1,1,1,1,1,1,1,100,2,1,2,1
2,서울,신사상가,1,1,1,1,1,1,1,100,1,1,2,2
3,서울,영동전통시장,1,1,1,1,1,1,2,94,1,1,1,2
4,서울,청담삼익시장,1,1,1,1,1,1,2,100,1,1,2,1
5,서울,고분다리전통시장,1,2,1,1,1,1,2,100,2,1,1,2
6,서울,길동복조리시장,1,1,1,1,1,1,1,70,1,2,1,2
7,서울,둔촌역전통시장,1,2,1,1,1,1,1,100,1,1,2,2
8,서울,명일전통시장,1,1,1,1,1,1,2,100,1,1,1,2
9,서울,성내전통시장,1,2,1,1,1,1,2,100,1,2,1,2
10,서울,암사종합시장,1,1,1,1,1,1,1,80,1,1,1,2
11,서울,강북북부시장,1,1,1,1,1,1,1,100,1,1,1,2
12,서울,강북종합전통시장,1,2,1,1,2,1,2,90,1,1,2,2
13,서울,동북시장,1,1,1,1,1,1,1,100,2,1,2,1
14,서울,방천골목시장,1,2,1,1,1,1,2,90,1,1,2,2
15,서울,번동북부골목시장,1,2,1,1,1,1,2,40,1,1,2,2
16,서울,솔샘시장,1,2,1,1,1,1,2,90,1,1,2,2
17,서울,수유북부시장,1,2,1,1,1,1,1,100,1,1,2,2
18,서울,수유시장,1,1,1,1,1,1,1,60,1,1,2,1
19,서울,수유재래시장,1,1,1,1,1,1,1,100,1,1,1,2
20,서울,수유전통시장(수유골목시장),1,1,1,1,1,1,1,90,1,1,1,2
21,서울,수유중앙골목시장,1,2,1,1,1,1,2,100,2,1,1,2
22,서울,수유중앙시장,1,1,1,1,1,1,1,100,1,1,2,2
23,서울,수유프라자,1,1,1,1,1,1,1,70,1,1,1,1
24,서울,우이골목시장,1,2,1,1,1,1,2,50,2,2,2,2
25,서울,우이시장,1,1,1,1,1,2,1,100,1,1,2,1
26,서울,장미원골목시장,1,1,1,1,1,1,2,70,1,1,1,2
27,서울,삼양골목시장,1,2,1,1,2,2,2,100,1,2,2,2
28,서울,까치산시장,1,1,1,1,1,1,1,80,1,1,1,2
29,서울,남부골목시장,1,1,1,1,1,1,1,100,1,1,1,2
30,서울,남부화곡시장,1,1,1,1,1,1,1,100,1,1,2,2
31,서울,대원종합시장,1,1,1,1,1,1,1,100,2,1,2,2
32,서울,등마루시장,1,2,1,1,1,1,1,100,2,1,2,2
33,서울,방신전통시장,1,1,1,1,1,1,1,70,1,1,1,2
